mode,size,total_rpcs,kops_per_second,tx_mbps,rx_mbps,avg_rtt_us,p50_rtt_us,p95_rtt_us,p99_rtt_us
tcp,64,417583,52.21,25.49,25.49,19.08,18.9,20.18,21.79
tcp,128,402816,50.36,49.18,49.18,19.78,19.79,20.71,22.75
tcp,256,411405,51.44,100.46,100.46,19.36,19.25,20.24,21.38
tcp,512,406099,50.77,198.33,198.33,19.62,19.43,20.67,22.27
tcp,1024,402263,50.29,392.91,392.91,19.81,19.67,20.58,21.79
tcp,2048,360836,45.11,704.88,704.88,22.09,21.64,25.92,30.83
tcp,4096,346093,43.27,1352.19,1352.19,23.03,22.49,26.22,29
tcp,8192,303872,37.99,2374.48,2374.48,26.24,25.91,30.67,32.52
tcp,16384,243041,30.39,3798.25,3798.25,32.82,33.25,35.16,36.82
tcp,32768,195874,24.49,6122.31,6122.31,40.74,40.72,42.63,43.82
tcp,65536,118739,14.85,7422.8,7422.8,67.25,67.9,72.03,77.54
tcp,100000,100106,12.52,9549.1,9549.1,79.79,80.2,85.89,89.66
tcp,320000,58604,7.33,17890.34,17890.34,136.27,135.06,150.83,158.62
tcp,500000,42223,5.28,20140.93,20140.93,189.17,188.59,198.88,205.26
tcp,640000,33840,4.23,20662.63,20662.63,236.08,235.8,249.72,257.2
ktls-sw,64,361407,45.19,22.06,22.06,22.05,21.94,23.04,24.77
ktls-sw,128,352240,44.04,43.01,43.01,22.63,22.24,24.99,25.92
ktls-sw,256,353642,44.21,86.36,86.36,22.54,22.46,23.4,24.31
ktls-sw,512,351384,43.93,171.61,171.61,22.68,22.56,23.64,24.51
ktls-sw,1024,335959,42,328.15,328.15,23.73,23.49,25.23,25.89
ktls-sw,2048,320203,40.03,625.52,625.52,24.89,24.25,27.67,29.59
ktls-sw,4096,261348,32.68,1021.11,1021.11,30.51,30.53,32.07,33.31
ktls-sw,8192,199239,24.91,1556.87,1556.87,40.05,34.36,60.51,161.33
ktls-sw,16384,175854,21.99,2748.31,2748.31,45.38,40.84,54.12,89.62
ktls-sw,32768,100457,12.56,3139.95,3139.95,79.5,82.67,86.49,90
ktls-sw,65536,87315,10.92,5458.42,5458.42,91.49,91.09,97.44,101.5
ktls-sw,100000,65905,8.24,6286.64,6286.64,121.23,120.25,129.34,134.31
ktls-sw,320000,29432,3.68,8984.67,8984.67,271.48,271.11,278.55,291.01
ktls-sw,500000,17474,2.19,8335.36,8335.36,457.34,456.09,468.53,491.71
ktls-sw,640000,12601,1.58,7694.41,7694.41,634.12,631.55,659.04,678.7
homa,64,501674,62.72,30.63,30.63,15.9,15.71,17.76,19.3
homa,128,495516,61.95,60.5,60.5,16.1,15.96,17.39,18.23
homa,256,499622,62.46,122,122,15.97,15.72,17.63,19.72
homa,512,491481,61.45,240.03,240.03,16.23,16.12,17.92,19.14
homa,1024,474005,59.26,462.99,462.99,16.83,16.71,18.45,20.25
homa,2048,372461,46.57,727.62,727.62,21.43,21.12,23.36,25.02
homa,4096,345372,43.18,1349.36,1349.36,23.11,22.84,25.66,27.63
homa,8192,294188,36.78,2298.8,2298.8,27.14,27.03,28.93,30.62
homa,16384,236153,29.53,3690.63,3690.63,33.82,33.55,36.33,39.49
homa,32768,178688,22.34,5585.07,5585.07,44.7,44.42,47.84,52.58
homa,65536,98540,12.32,6160.11,6160.11,81.1,80.54,90.87,96.6
homa,100000,53197,6.65,5074.42,5074.42,150.27,149.75,158.47,163.58
homa,320000,13839,1.73,4224.61,4224.61,577.62,577.94,595.08,602.55
homa,500000,8753,1.09,4175.16,4175.16,913.24,913.24,936.52,948.59
homa,640000,6793,0.85,4147.9,4147.9,1176.51,1176.61,1204.97,1220.44
smt-sw,64,448704,56.1,27.39,27.39,17.78,17.73,19.27,20.3
smt-sw,128,436932,54.63,53.35,53.35,18.26,18.07,19.64,20.77
smt-sw,256,438787,54.86,107.15,107.15,18.18,18.11,19.77,21.2
smt-sw,512,432582,54.08,211.26,211.26,18.44,18.39,20,21.03
smt-sw,1024,416829,52.11,407.14,407.14,19.14,19.02,20.39,21.13
smt-sw,2048,319123,39.9,623.41,623.41,25.01,24.79,26.39,27.42
smt-sw,4096,291713,36.47,1139.73,1139.73,27.37,27.23,28.92,29.93
smt-sw,8192,234326,29.3,1831.05,1831.05,34.08,33.97,35.95,37.46
smt-sw,16384,179746,22.47,2809.09,2809.09,44.44,43.79,49.41,53.19
smt-sw,32768,121038,15.13,3783.19,3783.19,66.02,65.5,73.38,77.67
smt-sw,65536,75885,9.49,4743.89,4743.89,105.33,104.32,113.87,121.2
smt-sw,100000,47092,5.89,4492.02,4492.02,169.77,169.31,179.77,186.96
smt-sw,320000,13304,1.66,4061.21,4061.21,600.86,600.6,616.95,629.81
smt-sw,500000,8417,1.05,4014.97,4014.97,949.63,949.41,972.57,986.26
smt-sw,640000,6501,0.81,3969.33,3969.33,1229.48,1229.42,1255.91,1271.31
smt-sw-nocrypto,64,500718,62.6,30.57,30.57,15.93,15.74,17.63,19.31
smt-sw-nocrypto,128,497967,62.26,60.8,60.8,16.02,15.87,17.78,19.45
smt-sw-nocrypto,256,495253,61.92,120.94,120.94,16.1,16.01,17.63,19.1
smt-sw-nocrypto,512,484003,60.51,236.37,236.37,16.48,16.39,18.14,19.19
smt-sw-nocrypto,1024,470192,58.79,459.26,459.26,16.97,16.82,18.26,19.3
smt-sw-nocrypto,2048,363594,45.46,710.28,710.28,21.95,21.39,25.04,27.72
